HomeTeam,AwayTeam,FTHome,FTAway,HTHome,HTAway,Week
Arsenal,Manchester City,0,3,0,3,28
Liverpool,Newcastle United,2,0,1,0,29
Watford,West Bromwich Albion,1,0,0,0,29
Tottenham Hotspur,Huddersfield Town,2,0,1,0,29
Swansea City,West Ham United,4,1,2,0,29
Southampton,Stoke City,0,0,0,0,29
Leicester City,AFC Bournemouth,1,1,0,1,29
Burnley,Everton,2,1,0,1,29
Manchester City,Chelsea,1,0,0,0,29
Brighton & Hove Albion,Arsenal,2,1,2,1,29
Crystal Palace,Manchester United,2,3,1,0,29
Manchester United,Liverpool,2,1,2,0,30
Everton,Brighton & Hove Albion,2,0,0,0,30
Huddersfield Town,Swansea City,0,0,0,0,30
Newcastle United,Southampton,3,0,2,0,30
West Bromwich Albion,Leicester City,1,4,1,1,30
West Ham United,Burnley,0,3,0,0,30
Chelsea,Crystal Palace,2,1,2,0,30
Arsenal,Watford,3,0,1,0,30
AFC Bournemouth,Tottenham Hotspur,1,4,1,1,30
Stoke City,Manchester City,0,2,0,1,30
AFC Bournemouth,West Bromwich Albion,2,1,0,0,31
Huddersfield Town,Crystal Palace,0,2,0,1,31
Stoke City,Everton,1,2,0,0,31
Liverpool,Watford,5,0,2,0,31
Burnley,Chelsea,1,2,0,1,31
Swansea City,Southampton,0,1,0,0,31
Leicester City,Arsenal,3,1,1,0,31
Manchester City,Brighton & Hove Albion,3,1,2,1,31
Tottenham Hotspur,Newcastle United,1,0,0,0,31
West Ham United,Manchester United,0,0,0,0,31
Crystal Palace,Liverpool,1,2,1,0,32
West Bromwich Albion,Burnley,1,2,0,1,32
Manchester United,Swansea City,2,0,2,0,32
Brighton & Hove Albion,Leicester City,0,2,0,0,32
Newcastle United,Huddersfield Town,1,0,0,0,32
Watford,AFC Bournemouth,2,2,1,1,32
West Ham United,Southampton,3,0,3,0,32
Everton,Manchester City,1,3,0,3,32
Arsenal,Stoke City,3,0,0,0,32
Chelsea,Tottenham Hotspur,1,3,1,1,32
Everton,Liverpool,0,0,0,0,33
Stoke City,Tottenham Hotspur,1,2,0,0,33
Watford,Burnley,1,2,0,0,33
Brighton & Hove Albion,Huddersfield Town,1,1,1,1,33
West Bromwich Albion,Swansea City,1,1,0,0,33
AFC Bournemouth,Crystal Palace,2,2,0,0,33
Leicester City,Newcastle United,1,2,0,1,33
Manchester City,Manchester United,2,3,2,0,33
Arsenal,Southampton,3,2,2,1,33
Chelsea,West Ham United,1,1,1,0,33
Southampton,Chelsea,2,3,1,0,34
Burnley,Leicester City,2,1,2,0,34
Swansea City,Everton,1,1,0,1,34
Crystal Palace,Brighton & Hove Albion,3,2,3,2,34
Huddersfield Town,Watford,1,0,0,0,34
Liverpool,AFC Bournemouth,3,0,1,0,34
Tottenham Hotspur,Manchester City,1,3,1,2,34
Newcastle United,Arsenal,2,1,1,1,34
Manchester United,West Bromwich Albion,0,1,0,0,34
West Ham United,Stoke City,1,1,0,0,34
Brighton & Hove Albion,Tottenham Hotspur,1,1,0,0,35
AFC Bournemouth,Manchester United,0,2,0,1,35
Leicester City,Southampton,0,0,0,0,35
West Bromwich Albion,Liverpool,2,2,0,1,35
Watford,Crystal Palace,0,0,0,0,35
Chelsea,Huddersfield Town,1,1,0,0,35
Arsenal,West Ham United,4,1,0,0,35
Stoke City,Burnley,1,1,1,0,35
Manchester City,Swansea City,5,0,2,0,35
Everton,Newcastle United,1,0,0,0,35
Liverpool,Stoke City,0,0,0,0,36
Crystal Palace,Leicester City,5,0,2,0,36
Huddersfield Town,Everton,0,2,0,1,36
Burnley,Brighton & Hove Albion,0,0,0,0,36
Newcastle United,West Bromwich Albion,0,1,0,1,36
Southampton,AFC Bournemouth,2,1,1,1,36
Swansea City,Chelsea,0,1,0,1,36
West Ham United,Manchester City,1,4,1,2,36
Manchester United,Arsenal,2,1,1,0,36
